Occupation,S.NO,Name,Nationality,Current Rank,Previous Year Rank,Category,New Category,Year,earnings,earnings_avg_1,earnings_avg_2,,,,,,,
Athletes,145,Michael Vick,USA,4,>10,American Football,American Football,2005,37.5,31.67,30.25,,,Actors,Actors/Actresses,,A.J. Green,American Football
Athletes,146,Shaquille O'Neal,USA,5,5,basketball,Basketball,2005,33.4,31.67,30.47,,,Actresses,Actors/Actresses,,Aaron Donald,American Football
Athletes,147,Michael Jordan,USA,6,4,basketball,Basketball,2005,33,31.67,30.47,,,American Football,American Football,,Aaron Rodgers,American Football
Athletes,149,Kobe Bryant,USA,8,10,basketball,Basketball,2005,28.8,31.67,30.47,,,American Football / Baseball,Baseball,,Alex Rodriguez,Baseball
Athletes,144,Oscar De La Hoya,USA,3,>10,boxing,Boxing/MMA,2005,38,31.67,38,,,Athletes,Athletes,,Alex Smith,American Football
Athletes,150,Lance Armstrong,USA,9,>10,cycling,Cycling,2005,28,31.67,28,,,Authors,Authors,,Ana Ivanovic,Tennis
Athletes,143,Michael Schumacher,Germany,2,2,F1 racing,Motorsports,2005,60,31.67,42.85,,,auto racing,Motorsports,,Andre Agassi,Tennis
Athletes,142,Tiger Woods,USA,1,1,golf,Golf,2005,87,31.67,52.03,,,Auto Racing (Nascar),Motorsports,,Andrew Luck,American Football
Athletes,151,Valentino Rossi,Italy,9,>10,motorcycle gp,Motorsports,2005,28,31.67,42.85,,,Baseball,Baseball,,Annika Sorenstam,Golf
Athletes,148,David Beckham,UK,7,8,soccer,Soccer,2005,32.5,31.67,29,,,basketball,Basketball,,Anthony Joshua,Boxing/MMA
Athletes,161,Tom Brady,USA,9,>10,American Football,American Football,2006,29,35.23,28.67,,,boxing,Boxing/MMA,,Ben Roethlisberger,American Football
Athletes,160,Alex Rodriguez,USA,9,>10,baseball,Baseball,2006,29,35.23,28.33,,,Comedians,Comedians,,Blake Griffin,Basketball
Athletes,156,Michael Jordan,USA,5,6,basketball,Basketball,2006,32,35.23,30.29,,,cycling,Cycling,,Brandin Cooks,American Football
Athletes,157,Kobe Bryant,USA,6,8,basketball,Basketball,2006,31,35.23,30.29,,,Directors/Producers,Directors/Producers,,Bryce Harper,Baseball
Athletes,158,Shaquille O'Neal,USA,7,5,basketball,Basketball,2006,30,35.23,30.29,,,F1 Motorsports,Motorsports,,Cam Newton,American Football
