Occupation,S.NO,Name,Nationality,Current Rank,Previous Year Rank,Category,Year,earnings
Athlete,1,Mike Tyson,USA,1,,boxing,1990,28.6
Athlete,2,Buster Douglas,USA,2,,boxing,1990,26
Athlete,3,Sugar Ray Leonard,USA,3,,boxing,1990,13
Athlete,4,Ayrton Senna,Brazil,4,,auto racing,1990,10
Athlete,5,Alain Prost,France,5,,auto racing,1990,9
Athlete,6,Jack Nicklaus,USA,6,,golf,1990,8.6
Athlete,7,Greg Norman,Australia,7,,golf,1990,8.5
Athlete,8,Michael Jordan,USA,8,,basketball,1990,8.1
Athlete,9,Arnold Palmer,USA,8,,golf,1990,8.1
Athlete,10,Evander Holyfield,USA,8,,boxing,1990,8.1
Athlete,11,Evander Holyfield,USA,1,8,boxing,1991,60.5
Athlete,12,Mike Tyson,USA,2,1,boxing,1991,31.5
Athlete,13,Michael Jordan,USA,3,8,basketball,1991,16
Athlete,14,George Foreman,USA,4,>30,boxing,1991,14.5
Athlete,15,Ayrton Senna,Brazil,5,4,auto racing,1991,13
Athlete,16,Alain Prost,France,6,5,auto racing,1991,11
Athlete,17,"Donovan ""Razor"" Ruddock",Canada,7,>30,boxing,1991,10.2
Athlete,18,Arnold Palmer,USA,8,8,golf,1991,9.3
Athlete,19,Nigel Mansell,UK,9,12,auto racing,1991,9
Athlete,20,Sugar Ray Leonard,USA,10,6,golf,1991,8.5
Athlete,21,Michael Jordan,USA,1,3,Basketball,1992,35.9
Athlete,22,Evander Holyfield,USA,2,1,Boxing,1992,28
Athlete,23,Ayrton Senna,Brazil,3,5,Auto Racing,1992,22
Athlete,24,Nigel Mansell,UK,4,9,Auto Racing,1992,14.5
Athlete,25,Arnold Palmer,USA,5,8,Golf,1992,11.1
Athlete,26,Andre Agassi,USA,6,17,Tennis,1992,11
Athlete,27,Joe Montana,USA,7,13,NFL,1992,9.5
Athlete,28,Sugar Ray Leonard,USA,8,10,Golf,1992,9.2
Athlete,29,Jim Courier,USA,9,>40,Tennis,1992,9
Athlete,30,Monica Seles,USA,10,12,Tennis,1992,8.5
Athlete,31,Michael Jordan,USA,1,1,Basketball,1993,36
Athlete,32,Riddick Bowe,USA,2,>40,Boxing,1993,25
Athlete,33,Ayrton Senna,Brazil,3,3,Auto racing,1993,18.5
Athlete,34,Alain Prost,France,4,>40,Auto Racing,1993,16
Athlete,35,George Foreman,USA,5,19,Boxing,1993,15.8
Athlete,36,Shaquille O'Neal,USA,6,>40,NBA,1993,15.2
Athlete,37,Lennox Lewis,USA,7,>40,Boxing,1993,15
Athlete,38,Cecil Fielder,USA,8,40,Baseball,1993,12.7
Athlete,39,Jim Courier,USA,9,9,Tennis,1993,12.6
Athlete,40,Joe Montana,USA,10,7,NFL,1993,11.5
Athlete,41,Michael Jordan,USA,1,1,Basketball,1994,30
Athlete,42,Shaq O'Neal,USA,2,6,Basketball,1994,16.7
Athlete,43,Jack Nicklaus,USA,3,13,Golf,1994,14.8
Athlete,44,Arnold Palmer,USA,4,11,Golf,1994,13.6
Athlete,45,Gerhard Berger,Austria,5,30,Auto Racing,1994,13.5
Athlete,46,Wayne Gretzky,Canada,5,22,Ice Hockey,1994,13.5
Athlete,47,Michael Moorer,USA,7,>40,Boxing,1994,12.1
Athlete,48,Evander Holyfield,USA,8,12,Boxing,1994,12
Athlete,49,Andre Agassi,USA,9,20,Tennis,1994,11.4
Athlete,50,Nigel Mansell,UK,10,19,Auto Racing,1994,11.3
Athlete,51,Michael Jordan,USA,1,1,basketball,1995,43.9
Athlete,52,Mike Tyson,USA,2,not ranked,boxing,1995,40
Athlete,53,Deion Sanders,USA,3,38,American Football / Baseball,1995,22.5
Athlete,54,Riddick Bowe,USA,4,not ranked,boxing,1995,22.2
Athlete,55,Shaquille O'Neal,USA,5,2,basketball,1995,21.9
Athlete,56,George Foreman,USA,6,15,boxing,1995,18
Athlete,57,Andre Agassi,USA,7,9,tennis,1995,16
Athlete,58,Sugar Ray Leonard,USA,8,3,golf,1995,15.1
Athlete,59,Michael Schumacher,Germany,9,30,auto racing,1995,15
Athlete,60,Wayne Gretzky,Canada,10,5,ice hockey,1995,14.5
Athlete,61,Mike Tyson,USA,1,2,Boxing,1996,75
Athlete,62,Michael Jordan,USA,2,1,Basketball,1996,52.6
Athlete,63,Michael Schumacher,Germany,3,9,F1 Motorsports,1996,33
Athlete,64,Shaquille O'Neal,USA,4,5,Basketball,1996,24.4
Athlete,65,Emmit Smith,USA,5,not ranked,NFL,1996,16.5
Athlete,66,Evander Holyfield,USA,6,14,Boxing,1996,15.5
Athlete,67,Andre Agassi,USA,7,7,Tennis,1996,15.2
Athlete,68,Arnold Palmer,USA,8,11,Golf,1996,15.1
Athlete,69,Dennis Rodman,USA,9,not ranked,Basketball,1996,12.9
Athlete,70,Patrick Ewing,USA,9,19,Basketball,1996,12.9
Athlete,71,Michael Jordan,USA,1,2,Basketball,1997,78.3
Athlete,72,Evander Holyfield,USA,2,6,Boxing,1997,54.3
Athlete,73,Oscar De La Hoya,USA,3,17,Boxing,1997,38
Athlete,74,Michael Schumacher,Germany,4,3,F1 Motorsports,1997,35
Athlete,75,Mike Tyson,USA,5,1,Boxing,1997,27
Athlete,76,Tiger Woods,USA,6,26,Golf,1997,26.1
Athlete,77,Shaquille O'Neal,USA,7,4,Basketball,1997,25.4
Athlete,78,Dale Earnhardt,USA,8,20,NASCAR,1997,19.1
Athlete,79,Joe Sakic,Canada,9,none,Hockey,1997,17.9
Athlete,80,Grant Hill,USA,10,18,Basketball,1997,17
Athlete,81,Michael Jordan,USA,1,,Basketball,1998,69
Athlete,82,Michael Schumacher,Germany,2,,F1 Motorsports,1998,38
Athlete,83,Sergei Federov,Russia,3,,Ice Hockey,1998,29.8
Athlete,84,Tiger Woods,USA,4,,Golf,1998,26.8
Athlete,85,Dale Earnhardt,USA,5,,NASCAR,1998,24.1
Athlete,86,Grant Hill,USA,6,,Basketball,1998,21.6
Athlete,87,Oscar De La Hoya,USA,7,,Boxing,1998,18.5
Athlete,88,Patrick Ewing,USA,8,,Basketball,1998,18.3
Athlete,89,Arnold Palmer,USA,9,,Golf,1998,18.1
Athlete,90,Gary Sheffield,USA,10,,Baseball,1998,17.2
Athlete,91,Michael Schumacher,Germany,1,2,Auto Racing,1999,49
Athlete,92,Tiger Woods,USA,2,4,Golf,1999,47
Athlete,93,Oscar De La Hoya,USA,3,7,Boxing,1999,43.5
Athlete,94,Michael Jordan,USA,4,1,Basketball,1999,40
Athlete,95,Evander Holyfield,USA,5,>10,Boxing,1999,35.5
Athlete,96,Mike Tyson,USA,6,>10,Boxing,1999,33
Athlete,97,Shaq O'Neal,USA,7,>10,Basketball,1999,31
Athlete,98,Lennox Lewis,USA,8,>10,Boxing,1999,29
Athlete,99,Dale Earnhardt,USA,9,5,Auto Racing,1999,26.5
Athlete,100,Grant Hill,USA,10,6,Basketball,1999,23
Athlete,101,Michael Schumacher,Germany,1,1,Auto Racing,2000,59
Athlete,102,Tiger Woods,USA,2,2,Golf,2000,53
Athlete,103,Mike Tyson,USA,3,6,Boxing,2000,48
Athlete,104,Michael Jordan,USA,4,4,Basketball,2000,37
Athlete,105,Grant Hill,USA,5,10,Basketball,2000,26
Athlete,106,Dale Earnhardt,USA,6,9,Auto Racing (Nascar),2000,24.5
Athlete,107,Shaq O'Neal,USA,7,7,Basketball,2000,24
Athlete,108,Lennox Lewis,USA,8,8,Boxing,2000,23
Athlete,109,Oscar De La Hoya,USA,9,3,Boxing,2000,23
Athlete,110,Kevin Garnett,USA,10,>10,Basketball,2000,21
Athlete,111,Tiger Woods,USA,1,2,Golf,2002,69
Athlete,112,Michael Schumacher,Germany,2,1,F1 Motorsports,2002,67
Athlete,113,Michael Jordan,USA,3,4,Basketball,2002,36
Athlete,114,Lennox Lewis,USA,4,8,Boxing,2002,28
Athlete,115,Grant Hill,USA,5,5,Basketball,2002,24
Athlete,116,Shaquille O'Neal,USA,5,7,Basketball,2002,24
Athlete,117,Mike Tyson,USA,7,3,Boxing,2002,23
Athlete,118,Kevin Garnett,USA,7,10,Basketball,2002,23
Athlete,119,Kobe Bryant,USA,9,>10,Basketball,2002,22
Athlete,120,Jacques Villeneuve,Canada,10,>10,Auto Racing,2002,20
Athlete,121,Jeff Gordon,USA,10,>10,Auto Racing (Nascar),2002,20
Athlete,122,Tiger Woods,USA,1,1,Golf,2003,78
Athlete,123,Michael Schumacher,Germany,2,2,F1 Motorsports,2003,75
Athlete,124,Michael Jordan,USA,3,3,Basketball,2003,35
Athlete,125,Shaq O'Neal,USA,4,5,Basketball,2003,30.5
Athlete,126,Oscar De La Hoya,USA,5,>10,Boxing,2003,30
Athlete,127,Kevin Garnett,USA,6,7,Basketball,2003,28
Athlete,128,Alex Rodriguez,USA,7,>10,Baseball,2003,26
Athlete,129,Grant Hill,USA,8,5,Basketball,2003,25.5
Athlete,130,Andre Agassi,USA,9,>10,Tennis,2003,24
Athlete,131,Jacques Villeneuve,Canada,10,10,Auto Racing,2003,23
Athlete,132,Tiger Woods,USA,1,1,golf,2004,80.3
Athlete,133,Michael Schumacher,Germany,2,2,F1 racing,2004,80
